P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
0435.HK,2020-03-02,4.57,2020-06-08,4.76,4.16,11.0,2020-03-03,4.59,OPEN,0.44,111.0,1.0,11.0
0435.HK,2020-03-02,4.57,2020-07-20,5.1,11.6,21.0,2020-03-03,4.59,OPEN,0.44,111.0,1.0,4.0
0435.HK,2020-03-02,4.57,2020-12-21,5.29,15.75,14.0,2020-03-03,4.59,OPEN,0.44,111.0,0.0,3.0
0857.HK,2020-03-02,3.1,2020-11-26,4.96,60.0,56.0,2020-03-03,3.09,OPEN,-0.32,-81.0,0.0,-1.0
2800.HK,2020-03-02,26.65,2021-01-02,31.66,18.8,15.0,2020-03-03,26.6,OPEN,-0.19,-48.0,0.0,-1.0
2208.HK,2020-03-02,7.92,2021-01-25,10.56,33.33,26.0,2020-03-03,7.72,OPEN,-2.53,-638.0,0.0,-8.0
2800.HK,2020-03-02,26.65,2020-08-08,28.65,7.5,12.0,2020-03-03,26.6,OPEN,-0.19,-48.0,1.0,-2.0
NKE,2020-03-02,92.68,2021-01-17,112.77,21.68,17.0,2020-03-03,90.93,OPEN,-1.89,-476.0,0.0,-9.0
V,2020-03-02,192.33,2020-08-17,227.16,18.11,27.0,2020-03-03,185.73,OPEN,-3.43,-864.0,1.0,-19.0
NKE,2020-03-02,92.68,2021-01-21,115.11,24.2,19.0,2020-03-03,90.93,OPEN,-1.89,-476.0,0.0,-8.0
V,2020-03-02,192.33,2021-02-01,240.39,24.99,19.0,2020-03-03,185.73,OPEN,-3.43,-864.0,0.0,-14.0
XAR,2020-03-02,102.75,2020-10-27,118.88,15.7,17.0,2020-03-03,101.41,OPEN,-1.3,-328.0,0.0,-8.0
LULU,2020-03-02,228.9,2021-02-24,340.15,48.6,34.0,2020-03-03,227.13,OPEN,-0.77,-194.0,0.0,-2.0
XAR,2020-03-02,102.75,2020-05-30,120.86,17.63,50.0,2020-03-03,101.41,OPEN,-1.3,-328.0,1.0,-7.0
XAR,2020-03-02,102.75,2020-05-13,122.41,19.13,67.0,2020-03-03,101.41,OPEN,-1.3,-328.0,1.0,-7.0
XAR,2020-03-02,102.75,2020-03-29,111.72,8.73,81.0,2020-03-03,101.41,OPEN,-1.3,-328.0,4.0,-15.0
XAR,2020-03-02,102.75,2020-05-09,125.83,22.46,83.0,2020-03-03,101.41,OPEN,-1.3,-328.0,1.0,-6.0
XAR,2020-03-02,102.75,2020-08-26,138.38,34.68,49.0,2020-03-03,101.41,OPEN,-1.3,-328.0,1.0,-4.0
MA,2020-03-02,306.74,2020-10-31,396.31,29.2,30.0,2020-03-03,292.0,OPEN,-4.81,-1212.0,0.0,-16.0
JNJ,2020-03-02,140.02,2021-01-24,157.54,12.51,10.0,2020-03-03,135.59,OPEN,-3.16,-796.0,0.0,-25.0
XAR,2020-03-02,102.75,2020-08-09,114.26,11.2,18.0,2020-03-03,101.41,OPEN,-1.3,-328.0,1.0,-12.0
V,2020-03-02,192.33,2020-06-20,215.49,12.04,28.0,2020-03-03,185.73,OPEN,-3.43,-864.0,1.0,-28.0
AMZN,2020-03-02,1953.95,2021-01-24,3173.61,62.42,48.0,2020-03-03,1908.99,OPEN,-2.3,-580.0,0.0,-4.0
GOOG,2020-03-02,1389.11,2020-12-29,1726.66,24.3,20.0,2020-03-03,1341.39,OPEN,-3.44,-867.0,0.0,-14.0
KO,2020-03-02,55.92,2021-02-02,62.17,11.18,8.0,2020-03-03,56.06,OPEN,0.25,63.0,0.0,2.0
LULU,2020-03-02,228.9,2021-02-16,355.12,55.14,40.0,2020-03-03,227.13,OPEN,-0.77,-194.0,0.0,-1.0
AAPL,2020-03-02,298.81,2020-12-16,379.16,26.89,23.0,2020-03-03,289.32,OPEN,-3.18,-801.0,0.0,-12.0
MA,2020-03-02,306.74,2020-08-02,360.94,17.67,29.0,2020-03-03,292.0,OPEN,-4.81,-1212.0,1.0,-27.0
MA,2020-03-02,306.74,2020-11-24,419.62,36.8,35.0,2020-03-03,292.0,OPEN,-4.81,-1212.0,0.0,-13.0
DIS,2020-03-02,119.98,2020-05-24,132.7,10.6,32.0,2020-03-03,116.45,OPEN,-2.94,-741.0,1.0,-28.0
DIS,2020-03-02,119.98,2021-01-30,135.3,12.77,10.0,2020-03-03,116.45,OPEN,-2.94,-741.0,0.0,-23.0
MA,2020-03-02,306.74,2020-07-22,348.33,13.56,24.0,2020-03-03,292.0,OPEN,-4.81,-1212.0,1.0,-35.0
MA,2020-03-02,306.74,2021-02-09,431.58,40.7,30.0,2020-03-03,292.0,OPEN,-4.81,-1212.0,0.0,-12.0
JNJ,2020-03-02,140.02,2020-07-28,150.52,7.5,13.0,2020-03-03,135.59,OPEN,-3.16,-796.0,1.0,-42.0
AMZN,2020-03-02,1953.95,2020-12-31,2893.41,48.08,40.0,2020-03-03,1908.99,OPEN,-2.3,-580.0,0.0,-5.0
V,2020-03-02,192.33,2020-05-09,203.66,5.89,22.0,2020-03-03,185.73,OPEN,-3.43,-864.0,1.0,-58.0
IXN,2020-03-02,211.57,2020-11-18,239.14,13.03,13.0,2020-03-03,204.32,OPEN,-3.43,-864.0,0.0,-26.0
NKE,2020-03-02,92.68,2020-07-05,102.23,10.3,21.0,2020-03-03,90.93,OPEN,-1.89,-476.0,1.0,-18.0
GOOG,2020-03-02,1389.11,2020-06-04,1537.74,10.7,29.0,2020-03-03,1341.39,OPEN,-3.44,-867.0,1.0,-32.0
V,2020-03-02,192.33,2020-07-24,207.33,7.8,14.0,2020-03-03,185.73,OPEN,-3.43,-864.0,1.0,-44.0
UPS,2020-03-02,92.75,2020-05-07,95.85,3.34,13.0,2020-03-03,95.85,CLOSED,3.34,842.0,2.0,100.0
JNJ,2020-03-02,140.02,2020-07-19,148.63,6.15,11.0,2020-03-03,135.59,OPEN,-3.16,-796.0,1.0,-51.0
GOOG,2020-03-02,1389.11,2020-12-10,1685.27,21.32,19.0,2020-03-03,1341.39,OPEN,-3.44,-867.0,0.0,-16.0
AAPL,2020-03-02,298.81,2021-01-03,381.88,27.8,23.0,2020-03-03,289.32,OPEN,-3.18,-801.0,0.0,-11.0
XAR,2020-03-02,102.75,2020-07-26,110.17,7.22,12.0,2020-03-03,101.41,OPEN,-1.3,-328.0,1.0,-18.0
RIO,2020-03-02,48.77,2021-02-24,64.5,32.25,23.0,2020-03-03,48.76,OPEN,-0.02,-5.0,0.0,-0.0
RIO,2020-03-02,48.77,2020-07-05,59.41,21.82,44.0,2020-03-03,48.76,OPEN,-0.02,-5.0,1.0,-0.0
ITA,2020-03-02,207.17,2021-01-02,264.58,27.71,23.0,2020-03-03,203.8,OPEN,-1.63,-411.0,0.0,-6.0
MMM,2020-03-02,153.02,2020-11-17,174.34,13.93,14.0,2020-03-03,145.24,OPEN,-5.08,-1280.0,0.0,-36.0
XAR,2020-03-02,102.75,2020-07-29,112.25,9.25,16.0,2020-03-03,101.41,OPEN,-1.3,-328.0,1.0,-14.0
NKE,2020-03-02,92.68,2020-07-08,100.57,8.51,17.0,2020-03-03,90.93,OPEN,-1.89,-476.0,1.0,-22.0
JNJ,2020-03-02,140.02,2020-05-16,148.28,5.9,20.0,2020-03-03,135.59,OPEN,-3.16,-796.0,1.0,-54.0
NKE,2020-03-02,92.68,2020-05-16,98.13,5.88,20.0,2020-03-03,90.93,OPEN,-1.89,-476.0,1.0,-32.0
QQQ,2020-03-02,216.42,2021-02-20,234.64,8.42,6.0,2020-03-03,209.48,OPEN,-3.21,-809.0,0.0,-38.0
DIS,2020-03-02,119.98,2020-09-21,129.63,8.04,10.0,2020-03-03,116.45,OPEN,-2.94,-741.0,0.0,-37.0
AAPL,2020-03-02,298.81,2020-11-25,376.56,26.02,24.0,2020-03-03,289.32,OPEN,-3.18,-801.0,0.0,-12.0
ITA,2020-03-02,207.17,2020-10-20,229.17,10.62,12.0,2020-03-03,203.8,OPEN,-1.63,-411.0,0.0,-15.0
NKE,2020-03-02,92.68,2020-05-14,97.66,5.37,19.0,2020-03-03,90.93,OPEN,-1.89,-476.0,1.0,-35.0
MA,2020-03-02,306.74,2020-05-06,318.18,3.73,14.0,2020-03-03,292.0,OPEN,-4.81,-1212.0,2.0,-129.0
GOOG,2020-03-02,1389.11,2020-05-02,1471.62,5.94,25.0,2020-03-03,1341.39,OPEN,-3.44,-867.0,2.0,-58.0
UPS,2020-03-02,92.75,2020-09-05,98.97,6.71,9.0,2020-03-03,91.3,OPEN,-1.56,-393.0,1.0,-23.0
QQQ,2020-03-02,216.42,2021-01-12,236.83,9.43,8.0,2020-03-03,209.48,OPEN,-3.21,-809.0,0.0,-34.0
JNJ,2020-03-02,140.02,2020-05-15,146.1,4.34,15.0,2020-03-03,135.59,OPEN,-3.16,-796.0,1.0,-73.0
DIS,2020-03-02,119.98,2020-08-18,128.82,7.37,11.0,2020-03-03,116.45,OPEN,-2.94,-741.0,1.0,-40.0
MA,2020-03-02,306.74,2020-05-11,324.44,5.77,21.0,2020-03-03,292.0,OPEN,-4.81,-1212.0,1.0,-83.0
UPS,2020-03-02,92.75,2020-08-24,97.95,5.61,8.0,2020-03-03,91.3,OPEN,-1.56,-393.0,1.0,-28.0
KO,2020-03-02,55.92,2020-08-19,58.29,4.24,6.0,2020-03-03,56.06,OPEN,0.25,63.0,1.0,6.0
ITA,2020-03-02,207.17,2020-04-30,215.56,4.05,17.0,2020-03-03,203.8,OPEN,-1.63,-411.0,2.0,-40.0
V,2020-03-02,192.33,2020-06-10,197.39,2.63,7.0,2020-03-03,185.73,OPEN,-3.43,-864.0,1.0,-130.0
RIO,2020-03-02,48.77,2021-01-20,68.24,39.92,31.0,2020-03-03,48.76,OPEN,-0.02,-5.0,0.0,-0.0
UPS,2020-03-02,92.75,2020-05-02,96.58,4.13,17.0,2020-03-03,91.3,OPEN,-1.56,-393.0,2.0,-38.0
UPS,2020-03-02,92.75,2020-08-22,100.41,8.26,12.0,2020-03-03,91.3,OPEN,-1.56,-393.0,1.0,-19.0
ASX-A2M,2020-03-03,16.13,2020-08-22,24.14,49.66,73.0,2020-03-03,16.13,OPEN,0.0,0.0,1.0,0.0
ASX-VCX,2020-03-03,2.24,2020-12-23,2.66,18.75,16.0,2020-03-03,2.24,OPEN,0.0,0.0,0.0,0.0
ASX-VCX,2020-03-03,2.24,2020-12-23,2.53,12.95,11.0,2020-03-03,2.24,OPEN,0.0,0.0,0.0,0.0
ASX-REA,2020-03-03,98.55,2020-12-11,132.16,34.1,30.0,2020-03-03,98.55,OPEN,0.0,0.0,0.0,0.0
ASX-REA,2020-03-03,98.55,2020-11-24,136.16,38.16,36.0,2020-03-03,98.55,OPEN,0.0,0.0,0.0,0.0
STW,2020-03-03,60.43,2020-08-21,64.94,7.46,11.0,2020-03-04,59.09,OPEN,-2.22,-559.0,1.0,-30.0
ASX-REA,2020-03-03,98.55,2021-01-04,138.6,40.64,33.0,2020-03-03,98.55,OPEN,0.0,0.0,0.0,0.0
ASX-A2M,2020-03-03,16.13,2020-06-14,19.7,22.13,54.0,2020-03-03,16.13,OPEN,0.0,0.0,1.0,0.0
ASX-REA,2020-03-03,98.55,2020-11-07,138.84,40.88,41.0,2020-03-03,98.55,OPEN,0.0,0.0,0.0,0.0
ASX-AGL,2020-03-03,18.86,2020-06-25,20.53,8.85,20.0,2020-03-03,18.86,OPEN,0.0,0.0,1.0,0.0
ASX-BKW,2020-03-03,18.0,2020-11-04,20.44,13.56,14.0,2020-03-03,18.0,OPEN,0.0,0.0,0.0,0.0
STW,2020-03-03,60.43,2020-12-19,65.95,9.13,8.0,2020-03-04,59.09,OPEN,-2.22,-559.0,0.0,-24.0
STW,2020-03-03,60.43,2020-11-12,64.79,7.21,7.0,2020-03-04,59.09,OPEN,-2.22,-559.0,0.0,-31.0
ASX-BHP,2020-03-03,33.99,2020-08-09,39.63,16.59,26.0,2020-03-03,33.99,OPEN,0.0,0.0,1.0,0.0
STW,2020-03-03,60.43,2020-08-27,63.85,5.66,8.0,2020-03-04,59.09,OPEN,-2.22,-559.0,1.0,-39.0
ASX-A2M,2020-03-03,16.13,2020-04-15,17.76,10.11,59.0,2020-03-03,16.13,OPEN,0.0,0.0,2.0,0.0
ASX-BKW,2020-03-03,18.0,2020-11-20,20.11,11.72,11.0,2020-03-03,18.0,OPEN,0.0,0.0,0.0,0.0
ASX-REA,2020-03-03,98.55,2020-07-04,112.62,14.28,29.0,2020-03-03,98.55,OPEN,0.0,0.0,1.0,0.0
ASX-AGL,2020-03-03,18.86,2020-08-05,20.11,6.63,11.0,2020-03-03,18.86,OPEN,0.0,0.0,1.0,0.0
ASX-REA,2020-03-03,98.55,2020-07-14,112.51,14.17,27.0,2020-03-03,98.55,OPEN,0.0,0.0,1.0,0.0
ASX-ORG,2020-03-03,7.04,2020-05-03,7.63,8.38,35.0,2020-03-03,7.04,OPEN,0.0,0.0,2.0,0.0
ASX-BKW,2020-03-03,18.0,2020-05-15,18.97,5.39,19.0,2020-03-03,18.0,OPEN,0.0,0.0,1.0,0.0
ASX-NAN,2020-03-03,6.77,2021-01-27,8.35,23.34,18.0,2020-03-03,6.77,OPEN,0.0,0.0,0.0,0.0
ASX-RIO,2020-03-03,88.8,2020-08-05,101.57,14.38,23.0,2020-03-03,88.8,OPEN,0.0,0.0,1.0,0.0
STW,2020-03-03,60.43,2020-05-14,62.16,2.86,10.0,2020-03-04,59.09,OPEN,-2.22,-559.0,1.0,-77.0
ASX-A2M,2020-03-03,16.13,2020-04-09,17.21,6.7,46.0,2020-03-03,16.13,OPEN,0.0,0.0,3.0,0.0
ASX-BKW,2020-03-03,18.0,2020-05-19,18.82,4.56,15.0,2020-03-03,18.0,OPEN,0.0,0.0,1.0,0.0
ASX-VCX,2020-03-03,2.24,2020-04-25,2.3,2.68,13.0,2020-03-03,2.24,OPEN,0.0,0.0,2.0,0.0
ASX-ORG,2020-03-03,7.04,2020-05-08,7.48,6.25,24.0,2020-03-03,7.04,OPEN,0.0,0.0,2.0,0.0
ASX-NAN,2020-03-03,6.77,2020-05-14,7.39,9.16,32.0,2020-03-03,6.77,OPEN,0.0,0.0,1.0,0.0
ASX-NAN,2020-03-03,6.77,2020-09-05,7.49,10.64,14.0,2020-03-03,6.77,OPEN,0.0,0.0,1.0,0.0
2768.HK,2020-03-03,3.17,2020-04-08,3.56,12.3,86.0,2020-03-03,3.17,OPEN,0.0,0.0,3.0,0.0
2768.HK,2020-03-03,3.17,2020-04-08,3.73,17.67,124.0,2020-03-03,3.17,OPEN,0.0,0.0,3.0,0.0
1270.HK,2020-03-03,1.78,2020-10-15,1.99,11.8,13.0,2020-03-03,1.78,OPEN,0.0,0.0,0.0,0.0
